date,open,high,low,close,volume,Name
2014-01-24,31.4618,31.6052,31.2706,31.5017,1887718,O
2014-01-27,31.5813,31.8044,31.3981,31.6052,2489652,O
2014-01-28,31.653,32.3462,31.653,32.3063,3127169,O
2014-01-29,32.1072,32.3462,32.0355,32.2984,2017930,O
2014-01-30,32.4122,32.7723,32.2761,32.6282,1817486,O
2014-01-31,32.3882,32.8123,32.1961,32.6362,1921987,O
2014-02-03,32.6523,32.6683,31.6959,31.7879,3332069,O
2014-02-04,31.7719,32.004,31.4198,31.948,2588044,O
2014-02-05,31.924,32.2041,31.8119,32.1481,257415,O
2014-02-06,32.1561,32.4042,31.996,32.2121,1513065,O
2014-02-07,32.2681,32.4842,32.1241,32.4602,1414538,O
2014-02-10,32.5002,32.8843,32.1801,32.8043,1451863,O
2014-02-11,32.7963,32.9964,32.6122,32.8283,1299020,O
2014-02-12,32.9003,33.0324,32.6843,32.9644,1672518,O
2014-02-13,32.9644,33.3645,32.8123,33.1965,1469014,O
2014-02-14,33.1885,33.5486,33.1484,33.3885,1724703,O
2014-02-18,33.6446,34.0048,33.1004,33.9567,2642021,O
2014-02-19,33.8927,34.525,33.8207,34.0848,2721357,O
2014-02-20,34.2048,34.661,34.1088,34.3409,2367052,O
2014-02-21,34.4209,34.8291,34.3329,34.741,2132452,O
2014-02-24,34.741,35.4213,34.733,35.1492,3192494,O
2014-02-25,35.2772,36.1015,35.2292,35.5333,3692248,O
2014-02-26,35.5333,35.6214,35.2452,35.6134,2300318,O
2014-02-27,35.2053,35.7839,35.1667,35.6955,2175772,O
2014-02-28,35.6955,36.0651,35.6232,35.6955,3030094,O
2014-03-03,35.583,35.6714,35.1571,35.3982,1797687,O
2014-03-04,35.4785,35.824,35.4046,35.6232,1480132,O
2014-03-05,35.6071,35.7437,34.9803,35.0767,1621602,O
2014-03-06,35.0526,35.1812,34.3294,34.3535,3023821,O
2014-03-07,34.1606,34.241,33.1722,33.4213,3587094,O
2014-03-10,32.9793,33.341,32.8749,33.3008,2543605,O
2014-03-11,33.4213,33.807,33.4012,33.6463,2238914,O
2014-03-12,33.7106,33.9517,33.6785,33.8553,2049253,O
2014-03-13,33.8633,34.1204,33.6945,34.0079,2054739,O
2014-03-14,33.9195,34.3334,33.9195,34.0079,1434346,O
2014-03-17,34.1687,34.3856,33.9678,34.1044,2656272,O
2014-03-18,34.016,34.0722,33.7749,33.9597,1700746,O
2014-03-19,33.8392,34.1364,32.7945,32.8749,2424637,O
2014-03-20,32.8668,32.8909,32.3927,32.7302,2329184,O
2014-03-21,32.8347,33.2317,32.6418,33.0276,3487342,O
2014-03-24,33.1561,33.3329,32.3365,32.7624,2177978,O
2014-03-25,33.0195,33.3008,32.7463,33.1481,1092063,O
2014-03-26,33.2445,33.2915,32.7624,32.7704,1610066,O
2014-03-27,32.3606,32.7865,31.8382,32.7865,17953979,O
2014-03-28,32.7804,32.9903,32.6513,32.8934,3662010,O
2014-03-31,32.958,33.0952,32.5383,32.9822,2918850,O
2014-04-01,33.0307,33.0549,32.4575,32.7158,2572188,O
2014-04-02,32.6916,33.0922,32.6109,32.8611,2578947,O
2014-04-03,32.845,32.8531,32.4632,32.6109,1751911,O
2014-04-04,32.7562,33.0549,32.5706,32.8854,2459055,O
2014-04-07,32.8773,33.7249,32.8127,33.5069,3578959,O
2014-04-08,33.176,33.8782,33.1598,33.8379,2882030,O
2014-04-09,33.8459,34.0962,33.4585,33.7491,2400711,O
2014-04-10,33.7733,34.072,33.2002,33.3535,1652151,O
2014-04-11,33.2244,33.5634,33.1679,33.4423,2152853,O
2014-04-14,33.5311,33.6724,33.2696,33.4423,1770531,O
2014-04-15,33.5311,34.4352,33.4423,34.3625,2795003,O
2014-04-16,34.4594,34.5886,34.1123,34.5321,1933238,O
2014-04-17,34.5321,34.5321,33.6926,33.8136,2047252,O
2014-04-21,33.8379,34.0316,33.6764,33.8459,1263792,O
2014-04-22,33.9751,34.2899,33.8217,34.2415,1771517,O
2014-04-23,34.2172,34.3383,34.0154,34.1285,1118359,O
2014-04-24,34.185,34.5805,34.1042,34.4998,1461362,O
2014-04-25,34.4271,34.7904,34.4111,34.6208,1978208,O
2014-04-28,34.6935,35.2747,34.6531,35.1778,2565163,O
2014-04-29,35.196,35.3014,34.965,35.1798,1915726,O
2014-04-30,35.1879,35.3014,34.8799,35.2203,2557363,O
2014-05-01,35.35,35.3581,34.4827,35.0258,1997590,O
2014-05-02,34.7745,35.0906,34.5638,35.0258,2080002,O
2014-05-05,34.8394,35.3744,34.6853,35.2771,1502368,O
2014-05-06,35.2366,35.2366,34.961,35.0906,2191982,O
2014-05-07,35.0744,35.8607,35.0177,35.8364,2160316,O
2014-05-08,35.8283,35.9418,35.5527,35.6581,1767490,O
2014-05-09,35.6337,35.7878,35.2933,35.4878,1656780,O
2014-05-12,35.6337,36.0553,35.577,35.731,2356740,O
2014-05-13,35.7715,36.039,35.269,35.4068,1531157,O
2014-05-14,35.4311,35.6662,35.0825,35.3419,1407623,O
2014-05-15,35.1636,35.3014,34.7624,35.0015,2314789,O
2014-05-16,34.9447,35.5689,34.8556,35.5689,1441229,O
2014-05-19,35.4554,35.577,35.2447,35.3987,1177115,O
2014-05-20,35.4635,35.6662,35.3095,35.4068,1417844,O
2014-05-21,35.4068,35.53,34.8556,35.1393,2276032,O
2014-05-22,35.1393,35.2309,34.7421,34.7664,2296291,O
2014-05-23,34.888,35.115,34.7259,34.7988,1814275,O
2014-05-27,34.9366,35.1231,34.7129,34.9772,1739973,O
2014-05-28,34.9934,35.1555,34.6124,34.8373,2823521,O
2014-05-29,35.0612,35.5374,34.9391,35.2973,2056984,O
2014-05-30,35.2647,35.4356,35.1182,35.2484,2367231,O
2014-06-02,35.2403,35.4845,34.9879,35.4031,1506355,O
2014-06-03,35.281,35.4234,35.167,35.2321,1144207,O
2014-06-04,35.2077,35.2647,35.0123,35.0856,1171328,O
2014-06-05,35.167,35.9485,35.0856,35.9078,2126286,O
2014-06-06,35.9648,36.0706,35.7369,35.8752,1522921,O
2014-06-09,35.2463,35.9404,35.11,35.2159,1654911,O
2014-06-11,35.1996,35.3787,35.0937,35.3624,1870427,O
2014-06-12,35.224,35.574,35.1589,35.5659,1589008,O
2014-06-13,35.6066,35.7531,35.3135,35.6961,2114020,O
2014-06-16,35.6961,35.9643,35.3054,35.3868,2360803,O
2014-06-17,35.3624,35.745,35.2566,35.5578,1783354,O
2014-06-18,35.5496,36.0462,35.4194,35.9648,1343109,O
2014-06-19,35.9892,36.2253,35.8427,36.2171,1493128,O
2014-06-20,36.1764,36.5835,35.9973,36.5835,2425769,O
2014-06-23,36.5509,36.616,36.1887,36.2171,1655591,O
2014-06-24,36.1846,36.2334,35.9159,36.1195,1555312,O
2014-06-25,36.0869,36.266,35.9485,36.0706,1321563,O
2014-06-26,36.0706,36.1032,35.7287,35.9078,1661695,O
2014-06-27,35.9101,36.2575,35.7466,36.1471,1594046,O
2014-06-30,36.1553,36.3351,35.861,36.3106,1830506,O
2014-07-01,36.3678,36.7193,36.1063,36.6703,2224934,O
2014-07-03,36.4087,36.4087,35.951,36.1553,812751,O
2014-07-07,36.1226,36.4741,36.0327,36.4087,1452682,O
2014-07-08,36.3351,36.7602,36.2371,36.5722,1626230,O
2014-07-09,36.6213,36.8665,36.376,36.6376,1530931,O
2014-07-10,36.3351,36.9728,36.3188,36.8992,1462027,O
2014-07-11,36.8992,36.9482,36.6131,36.8747,870125,O
2014-07-14,37.0627,37.1444,36.7439,37.0872,1052125,O
2014-07-15,37.0954,37.2916,36.9604,37.0954,1312945,O
2014-07-16,37.1281,37.1608,36.7537,37.0054,1504240,O
2014-07-17,36.8992,37.1853,36.8665,37.03,1128211,O
2014-07-18,37.1526,37.4714,37.0381,37.4305,1034798,O
2014-07-21,37.3242,37.3651,37.0381,37.2589,1077035,O
2014-07-22,37.2916,37.3569,36.9564,36.9809,1531646,O
2014-07-23,37.0708,37.1853,36.7886,37.0218,2639784,O
2014-07-24,37.1935,37.2425,36.2125,36.5559,2532925,O
2014-07-25,36.5313,36.6948,36.376,36.5313,1176512,O
2014-07-28,36.4986,36.8665,36.4578,36.5967,1668526,O
2014-07-29,36.654,36.7847,36.4332,36.4332,1615263,O
2014-07-30,36.4848,36.6325,35.4095,35.6558,2573486,O
2014-07-31,35.508,35.6004,35.311,35.3356,2103429,O
2014-08-01,35.2782,35.4177,35.1058,35.2782,2583837,O
2014-08-04,35.3439,35.6558,35.0812,35.5655,1469755,O
2014-08-05,35.5655,35.7953,35.3931,35.4998,1386219,O
2014-08-06,35.4177,35.6804,35.4095,35.5737,1256276,O
2014-08-07,35.7214,35.8035,35.5244,35.746,1008805,O
2014-08-08,35.7378,36.0079,35.6229,35.9512,1049213,O
2014-08-11,35.9348,36.1302,35.6804,35.861,1623238,O
2014-08-12,35.943,36.0415,35.7378,35.9266,1349674,O
2014-08-13,36.4069,36.5915,36.0497,36.5751,1049432,O
2014-08-14,36.5504,36.7146,36.452,36.5669,826559,O
2014-08-15,36.7146,36.8131,36.5012,36.6982,1215788,O
2014-08-18,36.928,37.0511,36.6161,37.0347,1261918,O
2014-08-19,37.084,37.1907,36.9526,37.1414,821993,O
2014-08-20,37.1086,37.3384,37.0101,37.2892,1030086,O
2014-08-21,37.2645,37.4533,37.1414,37.2645,797346,O
2014-08-22,37.2563,37.3384,36.8049,37.0101,1070109,O
